modulation,channel_mode,trial,snr_db_in,method,snr_db_out_vs_postisi_ref,ber,errors,bits
QPSK,sinusoidal,1,0,No Processing,0.012960440861944629,0.18416,9208,50000
QPSK,sinusoidal,1,0,LMS-Frozen,1.5424361298705622,0.2025,10125,50000
QPSK,sinusoidal,1,0,LMS-DD,-0.5058019856380742,0.49546,24773,50000
QPSK,sinusoidal,1,0,NLMS-Frozen,1.5310434731315943,0.20554,10277,50000
QPSK,sinusoidal,1,0,NLMS-DD,-0.4628216753319455,0.49016,24508,50000
QPSK,sinusoidal,1,5,No Processing,5.022474816658598,0.07,3500,50000
QPSK,sinusoidal,1,5,LMS-Frozen,2.830378439814869,0.07066,3533,50000
QPSK,sinusoidal,1,5,LMS-DD,-0.9360095345657794,0.48318,24159,50000
QPSK,sinusoidal,1,5,NLMS-Frozen,2.7862829792679333,0.07134,3567,50000
QPSK,sinusoidal,1,5,NLMS-DD,-0.8630858245114565,0.48214,24107,50000
QPSK,sinusoidal,1,10,No Processing,10.038349510239332,0.01306,653,50000
QPSK,sinusoidal,1,10,LMS-Frozen,4.177584500000126,0.00738,369,50000
QPSK,sinusoidal,1,10,LMS-DD,-1.057028491663072,0.47862,23931,50000
QPSK,sinusoidal,1,10,NLMS-Frozen,4.138736710838038,0.00712,356,50000
QPSK,sinusoidal,1,10,NLMS-DD,-1.0981289484169237,0.48128,24064,50000
QPSK,sinusoidal,1,15,No Processing,15.024967943035684,0.00102,51,50000
QPSK,sinusoidal,1,15,LMS-Frozen,5.55609708253056,0.00012,6,50000
QPSK,sinusoidal,1,15,LMS-DD,-1.1155531406058983,0.47728,23864,50000
QPSK,sinusoidal,1,15,NLMS-Frozen,5.430427876078806,0.00012,6,50000
QPSK,sinusoidal,1,15,NLMS-DD,-1.1149347758356234,0.47592,23796,50000
QPSK,sinusoidal,2,-5,No Processing,-4.9012128063669085,0.2998,14990,50000
QPSK,sinusoidal,2,-5,LMS-Frozen,0.7201666088401659,0.32828,16414,50000
